tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
ATROPELAMENTO;FINALIZADA;2018-01-01;0:01:00;SÃO JOSÉ;AV ENGENHEIRO JOSE ESTELITA;;EM FRENTE AO CAIS JOSE ESTELITA;ATROPELAMENTO;AUTO E PEDESTRE C/V;1;;;;1;;;;;1;
COLISÃO;CANCELADA;2018-01-01;2:45:00;CORDEIRO;AV CAXANGA;;PROX DO GALETOS, EM FRENTE AO PARQUE DE EXPOSIÇÕES, SENTIDO CIDADE;COLISÃO;COLISÃO ENTRE AUTO E MO S/V;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-01;3:33:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;PROX DO BANCO DO BRASIL, PROX DO BANCO ITAÚ;COLISÃO;COLISÃO ENTRE UM AUTO(TAXI) E VIATURA DA AERONAUTICA S/V;1;;;;;;;1;;0;
COLISÃO;FINALIZADA;2018-01-01;7:13:00;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;PROX  AO POSTO  DE GASOLINA  BR   AO LADO  DO ARMAZEM  14;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;7:50:00;CASA AMARELA;RUA PADRE LEMOS;767;EM FRENTE AO POSTO PETROBRAS;COLISÃO;TAXI E AUTO;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;16:01:00;ÁGUA FRIA;RUA MAJOR GUILHERME BONIFACIO;108;"PROX A PADARIA SANTO ANTÔNIO /  E/F AO DEPOSITO; CHARLES BEBIDAS";COLISÃO;2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-01;18:11:00;ARRUDA;AV BEBERIBE;;CRUZAMENTO COM A RUA ALEGRE SEMAFORO 064;COLISÃO;AUTO E ONIBUS CAXANGA;1;;;;;1;;;;0;
COLISÃO;CANCELADA;2018-01-01;18:32:00;ILHA JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;EM CIMA DO VIADULTO, SENT. AFOGADOS;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-02;1:14:00;BOA VIAGEM;AV DES JOSE NEVES;;SAINDO DO TÚNEL, SENTIDO AEROPORTO // SEMÁFORO 567;CHOQUE;VEÍCULO CHOCOU-SE CONTRA UM POSTE;1;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;8:08:00;SANTO AMARO;RUA ALVARES DE AZEVEDO;180;AO LADO DO PROCAPE,SEMAFORO 093;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:40:00;AFOGADOS;RUA VINTE E UM DE ABRIL;2225;EM FRENTE A LOJA MULTILAR;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:47:00;CASA FORTE;AV DEZESSETE DE AGOSTO;;FARMACIA PAGUE MENOS;COLISÃO;SEM VITIMAS CTTU VT 13 NO LOCAL E VAI FAZER O B.O;2;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-02;9:48:00;ESTÂNCIA;AV JOAO CABRAL DE MELO NETO;;SENTIDO, AV RECIFE. SEMÁFORO 259. E/F AO DO CERPE;COLISÃO;SEM VÍTIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;11:28:00;CASA AMARELA;RUA PAULA BATISTA;517;CRUZ  COM A  ESTRADA DO ARRAIAL  NA RUA  DA DELEGACIA  DE CASA AMARELA NO SEMAFORO Nº283;COLISÃO;COLISÃO  SEM  VITIMAS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;13:13:00;TAMARINEIRA;RUA CONEGO BARATA;;DEFRONTE A FERREIRA COSTA, HOSP. ELENA MOURA;COLISÃO;COLISÃO SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-02;13:18:00;BOA VIAGEM;AV BOA VIAGEM;;PROX. AO INTERNACIONAL PALACE;COLISÃO;COLISÃO SEM VITIMAS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;15:26:00;APIPUCOS;RUA DE APIPUCOS;;DEFRONTE AO 11º BATALHÃO;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;16:11:00;BAIRRO DO RECIFE;AV MILITAR;;PROX. A PREFEITURA DO RECIFE, POR TRAZ DA PILAR;COLISÃO;COLISÃO COM VITIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-02;16:29:00;CORDEIRO;RUA GREGORIO JUNIOR;100;NA RUA DACASA DE FESTA  SALA DE REBOCO. PROX. A LOJA SHINERAY, SENTIDO DERBY;COLISÃO;DUAS MOTOS E UM AUTO;1;1;1;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-02;16:32:00;ARRUDA;RUA PROFESSOR JERONIMO GUEIROS;423;C/ RUA DONA ELVIRA;CHOQUE;KLJ5269/ GM CLASSIC;1;;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-02;16:46:00;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;ESPAÇO ALFANDEGA, DEFRONTE AO POSTO BR;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;17:11:00;APIPUCOS;RUA DE APIPUCOS;;LADO OPOSTO  AO NÚMERO 435;COLISÃO;UM AUTO E UMA MOTOCICLETA;1;1;;;;;;;;1;
ENGAVETAMENTO;FINALIZADA;2018-01-02;17:20:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;4935;EM FRENTE AO CORREIOS, AO LADO DO WALMART;ENGAVETAMENTO;TRES AUTOS S/V;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;18:06:00;CAXANGÁ;AV CAXANGA;;SENT. CIDADE , LADO CONTRARIO DA INTEGRAÇÃO DA CAXANGÁ E POSTO DE GASOLINA SHELL;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;19:22:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;APOS A PRAÇA DO DERBY SENT. BOA VIAGEM;COLISÃO;AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-02;19:36:00;CASA AMARELA;AV NORTE;;ENFR AO BAR DA BUCHADINHA E ESCOLINHA MUNDO MAGICO SENTIDO A CIDADE SUB PROX A ENTRADA DE NOVA DESCOBERTA;COLISÃO;DOIS AUTO;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;19:50:00;AFOGADOS;RUA SAO MIGUEL;268;EM FRENTE AO DEPATRI;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;
QUEDA DE ÁRVORE;FINALIZADA;2018-01-02;19:56:00;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;382;ENF A CASA FUNERARIA;QUEDA DE ÁRVORE;ARVORE TOMBA SOBRE A VIA FECHANDO TOTALMENTE A RUA DA BOMBA DO HEMETERO;;;;;;;;;X;0;
COLISÃO;FINALIZADA;2018-01-02;20:58:00;BOA VIAGEM;RUA ANTONIO LUMACK DO MONTE;128;APOS A GALERIA SANTO ANTONIO PRIMEIRA A ESQUERDA;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;21:17:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;SEMAFORO 549 CRUZAMENTO COM A RUA PROFESSOR JOSE BRANDAO;COLISÃO;DOIS AUTO;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-02;21:29:00;IPUTINGA;RUA JOAO SALES MENEZES;174;PROX AO COLEGIO PONTUAL;COLISÃO;SIENA X HILUX;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;0:11:00;SAN MARTIN;AV GENERAL SAN MARTIN;;ENTRE O QUARTEL DA CAVALARIA E A CELPE, NO SEMAFORO 326;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
CHOQUE;CANCELADA;2018-01-03;0:50:00;IPUTINGA;RUA PALMITAL;134;PROX AO BAR DO LEITEIRO;CHOQUE;VEICULO CHOCOU-SE COM MURO;1;;;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-03;6:13:00;IPUTINGA;RUA PALMITAL;134;PROX AO BAR DO LEITEIRO;CHOQUE;VEICULO CHOCOU-SE COM MURO;1;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;7:05:00;AREIAS;RUA JOSE NATARIO;48;VEICULOS ESTÃO ESTACIONADOS  NO POSTO SHELL;COLISÃO;SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-03;7:06:00;IPSEP;RUA JEAN EMILE FAVRE;;EM FRENTE  A FACULDADE PERNAMBUCANA DE SAUDE /  LADO DIREITO SENT SUB;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;7:06:00;DERBY;RUA HENRIQUE DIAS;;E/F AO SPETTUS, SEMÁFORO 068. SENTIDO BOA VISTA;COLISÃO;COM UMA VÍTIMA.;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;7:40:00;IPSEP;AV RECIFE;3592;FALCÃO EQUIPADORA SENTIDO AEROPORTE;COLISÃO;;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;7:53:00;BOA VIAGEM;RUA RIBEIRO DE BRITO;720;AO LADO PANIFICADORA RIO TEJO;COLISÃO;;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;8:17:00;JARDIM SÃO PAULO;RUA QUATRO DE SETEMBRO;;EM FRENTE AO POSTO DE SAUDE UNIDADE DA FAMILIA DOS PLANETAS DOSS MACAACOS 1;COLISÃO;COL.S/V;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-03;8:36:00;ARRUDA;RUA CONEGO BARATA;775;EM FRENTE A PIZZARIA JAMINI / LADO DIREITO DA VIA;COLISÃO;CAMINHAO E AUTO;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-03;9:02:00;BOA VIAGEM;AV BOA VIAGEM;1958;EM FRENTE AO RESTAURANTE NABUCO;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;10:37:00;IBURA;AV DOIS RIOS;453;E/F A CENTRAL DOS PISOS, SENTIDO BR 101;COLISÃO;SEM VÍTIMAS;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;10:42:00;SOLEDADE;AV JOAO DE BARROS;;EM FRENTE DA CELPE;COLISÃO;COL.S/V;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-03;10:45:00;IMBIRIBEIRA;RUA BARAO DE AGUA BRANCA;376;EM FRENTE AO EDF AGUA BRANCA;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;11:57:00;BOA VISTA;AV GOVERNADOR AGAMENON MAGALHAES;;EM FRENTE AO BANCO DO BRASIL/ SENTIDO OLINDA;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-03;12:03:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;CRUZAMENTO COM RUA PAMPULHA;COLISÃO;COM VÍTIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;12:10:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;NO SEMÁFORO 049;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;12:33:00;BOA VIAGEM;AV BOA VIAGEM;;AO LADO DA PRACINHA;COLISÃO;AUTO E MOTO S/V;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;14:23:00;BEBERIBE;AV BEBERIBE;;APOS O POSTO SHELL, E COMERCIAL PECHARA;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;14:33:00;ENCRUZILHADA;RUA PEDRO ALVES;;CRUZAMENTO COM AV. BEBERIBE, SEMAFORO 186, SENTIDO ARRUDA, EM FRENTE A DROGASIL;COLISÃO;TAXI E CARRO FORTE;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;14:57:00;PINA;AV ANTONIO DE GOES;;JUNTO AO SEMAFORO 538, COM ANTÔNIO MARIANO FILHO;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;15:25:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;3355;EM FRENTE A CAIXA ECONOMICA;COLISÃO;AUTO E ONIBUS DA BORBOREMA;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-03;15:41:00;PINA;RUA MANOEL DE BRITO;;NA ENTRADA DO TUNEL, APOS O SEMAFORO 659;COLISÃO;AUTO E MOTO C/V;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;16:00:00;BOA VIAGEM;RUA CAPITAO ZUZINHA;310;AO LADO DA UNIDADE VETERINARIA;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;16:01:00;BOMBA DO HEMETÉRIO;EST VELHA DE AGUA FRIA;;POSTO DE GASOLINA NORTE BRAZ, DEFRONTE A IGREJA PENTECOSTAL SO BRASIL;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;16:22:00;CAXANGÁ;RUA SOUZA BANDEIRA;;DEFRONTE  A PRAFIAT, AUTO PEÇAS;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
CHOQUE;FINALIZADA;2018-01-03;16:41:00;ILHA DO RETIRO;RUA ASTORGA;136;POR TRÁS DA SUBESTAÇÃO DA CELPE;CHOQUE;CAMINHÃO DERRUBOU POSTE (B020600) E ARRASTOU FIAÇÃO.;;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-03;16:51:00;CORDEIRO;RUA HONORIO CORREIA;107;AO LADO DO SUPERMERCADO LEÃO;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-03;18:26:00;VÁRZEA;RUA CORONEL PACHECO;;JUNTO A PRAÇA DA VÁRZEA;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-03;20:13:00;BEBERIBE;AV BEBERIBE;4080;PERTO DA PIZZARIA HUT;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-03;20:27:00;CAXANGÁ;AV JOAQUIM RIBEIRO;320;MOTEL FRENEZI;COLISÃO;COLISAO COM VITIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-03;20:46:00;PRADO;AV ENGENHEIRO ABDIAS DE CARVALHO;;AO LADO DA RABIBES;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;3:38:00;JARDIM SÃO PAULO;RUA LEANDRO BARRETO;;PRÓX A PADARIA LA ROQUE // PRÓX AO POSTO TEXACO;COLISÃO;COLISÃO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;6:10:00;TORRE;RUA REAL DA TORRE;280;EM FRENTE AO MUNDO DO CABELEIREIRO;COLISÃO;MOTO E AUTO;1;1;;;;;;;;1;
CHOQUE;FINALIZADA;2018-01-04;7:43:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4561;SENTIDO  AEROPORTO EM  FRENTE A  JUSTIÇA DO TRABALHO;CHOQUE;CONDUTOR  COLIDIU CONTRA UM POSTE  VITIMA  SOCORRIDA PELO SAMU;;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-04;8:16:00;SANTO AMARO;AV MARIO MELO;;EM FRENTE AO COLEGIO ESTADUAL SILVIO RABELO;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;8:51:00;JORDÃO;AV MARIA IRENE;1019;EM FRENTE DO EDF SONHO DOURADO;COLISÃO;AUTO E MOTO;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-04;9:04:00;SÃO JOSÉ;RUA FLORIANO PEIXOTO;;ESQ COM A CASA DA CULTURA  /   EM FRENTE A LOJA MARIA BONITA / AO LADO DA PRAÇA;COLISÃO;ONIBUS E AUTO;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-04;9:13:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;2871;EM FRENTE A MARAVILHA MOTOS NO ESTACIONAMENTO;COLISÃO;MOTO E AUTO;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;9:18:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;ANTES DA REITORIA DA UPE  EM BAIXO DO VIADUTO  DA AV NORTE;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;9:25:00;SANTO AMARO;AV CRUZ CABUGA;165;EM FRENTE A IGREJA DA GRAÇA SENT CIDADE;COLISÃO;MOTO E AUTO;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;9:49:00;BOA VIAGEM;AV BEIRA MAR;2682;EM  FRENTE AO EDIFICIO  MIRANTE;COLISÃO;COLISÃO SEM  VITIMAS;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;9:50:00;ILHA DO LEITE;RUA FRANCISCO ALVES;542;E/F A LOJA PEDRAS DE ITACOLOMI AO LADO DO HOSPITAL ESPERANÇA, SEMÁFORO 508;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;10:15:00;PRADO;RUA GOMES TABORDA;;ESQUINA COM A RUA DESEMBARGADOR ADOLFO CIRIATO,AO LADO DO BAILE PERFUMADO;COLISÃO;SEM VITIMAS;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;10:24:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;2830;RESIDENCIA  PROA A  REITORIA DA UPE   NA  ENTRADA DA RUA  FREI CASSIMIRO;COLISÃO;COLISÃO  SEM  VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;10:32:00;CASA AMARELA;RUA CONS PERETTI;115;HA 100 METROS DO LABORATORIO GILSON CIDRIN;COLISÃO;COM UMA VITIMA AGUARDANDO SAMU;1;;;;;1;;;;0;
COLISÃO;CANCELADA;2018-01-04;11:40:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;2682;E/F A PAGUE MENOS, SENTIDO AEROPORTO, SEMÁFORO 289;COLISÃO;COM UMA VÍTIMA.;;2;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-04;12:08:00;DOIS IRMÃOS;AV HILDEBRANDO DE VASCONCELOS;;NO INICIO DA AV. ENTRADA DO CT DO SANTA CRUZ FC. E/F A CELPE;COLISÃO;AUTO E ÕNIBUS. S/V;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-04;14:44:00;BOA VISTA;AV MANOEL BORBA;820;E/F AO EDF LOURDES NOGUEIRA / PROXIMIDADES DA FACULDADE FATEC;COLISÃO;CAMINHÃO E MOTO. S/V;;1;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-04;14:57:00;BOA VIAGEM;AV VINTE DE JANEIRO;416;PROX. AO TERMINAL D SETUBOL;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;15:09:00;CASA AMARELA;RUA DA HARMONIA;;CASA DE FESTA PLANETA A;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;15:14:00;VÁRZEA;AV AFONSO OLINDENSE;;E/F A GARAGEM DA CRT;COLISÃO;AUTO E MOTO. S/V;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;15:22:00;AFOGADOS;RUA PADRE TEOFILO TWORZ;;POR TRAS DA ENGEFRIO;COLISÃO;DOIS AUTOS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;16:08:00;SANTO AMARO;RUA DA FUNDICAO;;E/F A GLOBO, PROX AO JORNAL DO COMÉRCIO E CRUZAMENTO COM A  R CAP LIMA;COLISÃO;2 AUTOS. S/V;2;;;;;;;;;0;
ENGAVETAMENTO;FINALIZADA;2018-01-04;16:30:00;CAMPO GRANDE;RUA JERONIMO VILELA;477;EM FRENTE A A PADARIA SANTO ANTONIO, SEMAFORO 555;ENGAVETAMENTO;TRES AUTOS S/V;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;;SANTO AMARO;RUA DO HOSPICIO;;CAMARA DOS VEREADORES;COLISÃO;COLISÃO SEM VÍTIMA;;2;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;17:23:00;AFOGADOS;RUA JOSE MIRANDA;375;LATERAL 21 DE ABRIL / APOS O CAFE PETINHO, SENTIDO A ESTAÇÃO DE AFOGADOS;COLISÃO;COLISÃO SEM VÍTIMA;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;17:40:00;AFLITOS;AV CONS ROSA E SILVA;756;EM FRENTE A FARMACIA BIGBEM;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;17:54:00;SAN MARTIN;RUA JOSE VELOSO;2254;PROX A CAVALARIA AO LADO DA PRAÇA;COLISÃO;GOL X CAMINHONETE;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-04;18:00:00;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;261;PROX AO SEMAFORO 637;COLISÃO;CAMINHAO BAU X PALIO;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-04;18:06:00;PINA;AV HERCULANO BANDEIRA;;E/F AO BANCO CAIXA / SNT BOA VIAGEM / PROX AO TÚNEL;COLISÃO;AUTO E MOTO. C/V;1;1;;;;;;;;1;
COLISÃO COM CICLISTA;CANCELADA;2018-01-04;18:06:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;CRUMENTO DO SEMAFORO 532;COLISÃO COM CICLISTA;MOTO E CICLISTA;;1;;;1;;;;;1;
COLISÃO;FINALIZADA;2018-01-04;19:18:00;BOA VIAGEM;RUA DOS NAVEGANTES;;CRUZ COM A R CORONEL BENIDITO CHAVES / POR TRÁS DO EDF CASTELINHO /  E/F AO MONTE HOTEL;COLISÃO;2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-04;19:30:00;ESTÂNCIA;AV DR JOSE RUFINO;;E/F AO ARMAZÉM CORAL, APÓS O VIADUTO DA AV RECIFE;COLISÃO;MOTO E AUTO.  C/V;1;1;;;;;;;;1;
CHOQUE;FINALIZADA;2018-01-04;19:38:00;PAISSANDU;RUA EPAMINONDAS DE MELO;;AO LADO DO COLÉGIO GGE / POR TRÁS DO EMPRESARIAL RENATO DIAS E PROX AO SPETTUS;CHOQUE;COM VITIMA / CHOQUE CONTRA  A UM FERRO NO MEIO DA VIA, NO QUAL FOI POSTO DEVIDO A UMA REFORMA;1;;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-04;21:30:00;CORDEIRO;RUA DR JOAO LACERDA;72;CRUZAMENTO CO AV CAXANGA SENTIDO SUB DEPOIS RESTAURANTE YOKI;COLISÃO;CAMINHAO DE PEQUENO PORTE E AUTO;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-01-05;0:07:00;CAMPO GRANDE;AV PROFESSOR JOSE DOS ANJOS;58;PROX DO CRUZAMENTO COM A RUA JERÔNIMO VILÉLA, PROX DA ASSEMBLEIA DE DEUS, SENTIDO PEIXINHOS;COLISÃO;COLISÃO ENTRE AUTO E ÔNIBUS S/V;1;;;;;1;;;;0;
ACID. DE PERCURSO;FINALIZADA;2018-01-05;7:07:00;SANTO AMARO;AV NORTE;;NO FINAL DA PONTE DO LIMOEIRO SENTIDO OLINDA;ACID. DE PERCURSO;MOTOQUEIRO ACIDENTOU-SE APÓS A MOTO DERRAPAR E CAIR DEVIDO A OLEO NA VIA PUBLICA;;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-05;7:56:00;AFOGADOS;RUA SAO MIGUEL;1136;E/F A CHINA IN BOX;COLISÃO;SEM VÍTIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-05;8:00:00;BAIRRO DO RECIFE;RUA DO BOM JESUS;;POR TRAS DO TEATRO DA CAIXA;COLISÃO;DOIS AUTOS  MOTO 15  GM LUCIANO BARROS E FELIPE AGUIAR /  NO QTH;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-05;8:14:00;SÃO JOSÉ;RUA FLORIANO PEIXOTO;;EM FRENTE A ESTAÇÃO CENTRAL DO METRO;COLISÃO;SEM VITIMAS,;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-01-05;8:22:00;IPSEP;RUA PINTOR ANTONIO ALBUQUERQUE;240;RUA DO MERCADINHO CONVENÇÃO E AO LADO DA PARADA DE ONIBUS;COLISÃO;SEM VITIMAS;1;;;;;;1;;;0;
COLISÃO;CANCELADA;2018-01-05;8:29:00;PINA;AV REPUBLICA DO LIBANO;;SENT BOA VIAGEM / EM FRENTE AO SHOPPING RIO MAR/ ANTES DO TUNEL;COLISÃO;MOTO E AUTO.  C/V;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-05;8:31:00;ENCRUZILHADA;AV NORTE;;COM JOÃO DE BARROS;COLISÃO;AMBULÂNCIA DO SAMU E MOTO;;;;;;;;;;0;
ACID. DE PERCURSO;FINALIZADA;2018-01-05;8:40:00;SANTO AMARO;AV NORTE;;NO FINAL DA PONTE DO LIMOEIRO SENTIDO OLINDA;ACID. DE PERCURSO;MOTOQUEIRO ACIDENTOU-SE APÓS A MOTO DERRAPAR E CAIR DEVIDO A OLEO NA VIA PUBLICA;;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-01-05;8:43:00;AFOGADOS;RUA SAO MIGUEL;1203;RUA DELEGACIA DE AFOGADOS;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-05;9:03:00;BOA VIAGEM;RUA DEZ DE JULHO;265;E/F AO EDF. TANGARÁ;COLISÃO;SEM VÍTIMAS.;2;;;;;;;1;;0;
COLISÃO;FINALIZADA;2018-01-05;9:36:00;ENCRUZILHADA;RUA DR JOSE MARIA;27;EM FRENTE A IGREJA UNIVERSAL;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-01-05;10:25:00;AREIAS;AV DR JOSE RUFINO;1552;EM FRENTE AO POSTO SHELL SENTIDO AFOGADOS;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-01-05;10:34:00;CAXANGÁ;AV CAXANGA;5478;SENTIDO CAMARAGIBE. E/F AO CONSULTÓRIO DE SAÚDE;COLISÃO;SEM VÍTIMAS.;2;;;;;;;;;0;
