tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO;FINALIZADA;2018-09-24;18:16:00;ENCRUZILHADA;AV NORTE;;LADO OPOSTO DO HOSPITAL JORGE DE MEDEIROS, SNT SUB / PRÓX AO POSTO SHELL E MERCADO DA ENCRUZILHADA;COLISÃO;ENTRE AUTO E MOTO, C/V;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-24;19:10:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;DENTRO DA AREA DO AEROPORTO PORTAO A5;COLISÃO;VAN X COBALT AZUL;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-24;19:56:00;JARDIM SÃO PAULO;RUA LEANDRO BARRETO;1361;ENF A PIZZARIA DOS GEMEOS;COLISÃO;ONIBUS BORBOREMA X AUTO;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-24;21:52:00;BONGI;AV ENGENHEIRO ABDIAS DE CARVALHO;;ENF A FACULDADE ESTACIO E POSTO DISLUB// SENTIDO CIDADE;COLISÃO;CLASSIC X ONIBUS BORBOREMA;1;;;;;1;;;;1;
COLISÃO;CANCELADA;2018-09-25;0:23:00;ESPINHEIRO;RUA DO ESPINHEIRO;347;COM A RUA 48 // SEMÁFORO 166 // PRÓX AO EDIFÍCIO MARIA TEREZA.;COLISÃO;COLISÃO ENTRE AUTO E ÔNIBUS S/V.;1;;;;;1;;;;0;
COLISÃO;CANCELADA;2018-09-25;6:21:00;AFOGADOS;RUA PEDRO CABRAL DE OLIVEIRA;113;EM FRENTE AO CARTORIO DE AFOGADOS;COLISÃO;SEM VITIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-25;6:56:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;E/F AO HR, SENTIDO BOA VIAGEM. SEMÁFORO 650;COLISÃO;SEM VÍTIMAS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-25;7:03:00;CORDEIRO;AV CAXANGA;;EM FRENTE AO SEMAFORO 080/E AO TERMINAL DE INTEGRAÇÃO DA CAXANGA SENT /CIDADE;COLISÃO;COM A VIATURA DA PM E AUTO PASSEIO SEM VITIMAS;1;;;;;;;1;;0;
COLISÃO;FINALIZADA;2018-09-25;7:24:00;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;CRUZAMENTO COM A RUA ARMINDO MOURA/SEMAFORO 258;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;7:31:00;GUABIRABA;AV VEREADOR OTACILIO AZEVEDO;S/N;E/F A ESCOLA TOME GIBSON;COLISÃO;COLOISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;7:28:00;CAMPO GRANDE;RUA PROFESSOR FRANCISCO DA TRINDADE;290;E/F A RESIDENCIA. CRIZAMENTO COM A RUA SÃO CAETANO;COLISÃO;COM UMA VÍTIMA.;1;1;;;;;;;;1;
